Expérience,LR,Accuracy (%),Loss,F1-score,Erreurs,Temps (s),LR final,Learning Rate,Epochs,F1-score (macro),Erreurs totales
Exp2_LR_0.0005,0.0005,80.17,0.4332,0.801,119.0,1172.66,0.000125,,,,
Exp9_Dense(256)_IMG128_LR0.0005_DO0.5,0.0005,79.67,0.4259,0.797,122.0,793.12,0.000125,,,,
Exp1_LR_0.0003,0.0003,79.5,0.4276,0.795,123.0,779.4,0.00015,,,,
Exp7_LR0.0005_DO0.5_AUG_30_0.3,0.0005,79.5,0.4393,0.795,123.0,824.06,0.0005,,,,
Exp6_LR0.0005_Dropout_0.6,0.0005,79.5,0.4198,0.795,123.0,858.9,0.0005,,,,
Exp8_IMG160_LR0.0005_DO0.5,0.0005,77.67,0.4604,0.777,134.0,1359.61,0.0005,,,,
Exp4_LR_0.0005_Dropout_0.4,0.0005,77.5,0.4591,0.775,135.0,751.85,0.0005,,,,
Exp11_BN_GAP_IMG128_LR0.0005_DO0.5,0.0005,77.5,0.4766,0.774,135.0,1482.3,0.0002500000118743,,,,
Exp10_Conv2D(256)_IMG128_LR0.0005_DO0.5,0.0005,77.33,0.4507,0.773,136.0,856.86,0.0001250000059371,,,,
Exp13_MinimalChange_BN_NoLastPool,0.0005,77.0,0.4693,0.768,138.0,1539.4,0.0002500000118743,,,,
Exp5_LR0.0005_Dropout_0.3,0.0005,76.83,0.454,0.766,139.0,751.66,0.0005,,,,
Exp3_LR_0.001,0.001,73.67,0.5076,0.736,158.0,785.06,0.0005,,,,
Exp12_Deux_Conv_BN_GAP_IMG128_LR0.0005_DO0.5,0.0005,61.5,0.6551,0.612,231.0,1577.96,0.0002500000118743,,,,
Exp14_Deep160_Dense256_40epochs,0.0005,50.0,0.6931,0.333,300.0,3209.57,4.049999915878288e-06,,,,
Exp2_plus_v1,,80.17,0.4789,,,,,0.0005,40.0,0.799,119.0
Exp3_Scratch_DataAug,,79.0,0.4497,,,725.41,1.3500000022759195e-05,0.0005,30.0,0.79,126.0
Exp3_Scratch_DataAug,,79.0,0.4497,,,831.22,1.3500000022759195e-05,0.0005,30.0,0.79,126.0
Exp4_GlobalAvgPool,,71.83,0.5628,,,706.08,4.5000000682193786e-05,0.0005,30.0,0.718,169.0
Exp4_DeeperCNN,,75.67,0.5316,,,1833.4,4.5000000682193786e-05,0.0005,30.0,0.757,146.0
Exp5_BatchNormCNN,,80.17,0.4211,,,2786.16,1.3500000022759195e-05,0.0005,30.0,0.802,119.0
Exp6_L2_Regularization,,80.33,0.5839,,,2209.06,0.0001250000059371,0.0005,24.0,0.803,118.0
Exp7_L2_0005_LightAug,,80.5,0.5839,,,2226.11,0.0001250000059371,0.0005,24.0,0.804,117.0
Exp8_L2_0005_LightAug,,77.67,0.5839,,,1867.23,1.875000089057721e-05,0.0003,20.0,0.775,134.0
Exp9_Scratch_Refined,,78.5,0.6035,,,1867.4,3.125000148429535e-05,0.0005,20.0,0.785,129.0
Exp10_Scratch_Refined,,81.0,0.6054,,,2315.38,7.812500371073838e-06,0.0005,25.0,0.81,114.0
Exp11_Dropout_04,,81.67,0.5622,,,2329.18,1.5625000742147677e-05,0.0005,25.0,0.817,110.0
